inner_id,username,profile,follower_cnt,following_cnt
36069964057,gong0_e,"study_too0 ➡️ gong0_e 로 계정 변경!
공스타그램 & 자기개발 & 등등 배배 허리허리
논 자유의 모미 아뉘야😌
• 🚀로켓단 19기 16조 7/6~8/5🚀",114,49
27613261759,yeoni__ovo,,3,0
1244914819,pillarbright,,100,48
31759289277,bethebest_324,"🐯⚽️🧡👩‍🔬🏋️‍♀️
🔛 KOREA Univ. 18
🔜 Graduate student",108,61
36848435140,56503_2,@00042_3,46,45
1713675550,lucille20bee,언제나 의욕은 넘치는 편 :),217,53
40321933560,tnfl_shstnf,"✏️ 논술 반수 ʙᴜᴛ 휴학 ❌
❗️ 플래너&필기 올리는 계정
❓ 타임랩스 @tnfl_shstnf.qn
✏️ 학점 관리 • 논술 공부 병행",2,1
10674091363,muu_grm,"sᴛᴜᴅʏ ᴀccoᴜɴᴛ
99' /  薬学生",251,37
40206821253,gongbuhaneun.haeun,공부가 집중이 안될때는 공부를 한다😆📖✏,10,3
40276031805,sa_tudy,੭ ᐕ)੭,41,3
2930957804,ningsseu,"🏛 𝙃𝙖𝙣𝙠𝙪𝙠 𝙐𝙣𝙞𝙫. 𝙤𝙛 𝙁𝙤𝙧𝙚𝙞𝙜𝙣 𝙎𝙩𝙪𝙙𝙞𝙚𝙨 𝙀𝙎🇪🇸& 𝙉𝙇🇳🇱
✈️ 𝙆𝙇𝙈, 𝙍𝙤𝙮𝙖𝙡 𝘿𝙪𝙩𝙘𝙝 𝘼𝙞𝙧𝙡𝙞𝙣𝙚𝙨💙
🐰 @da_6in",214,99
40405740764,jiwon_the_student,"@jiwon_99_11
일 10시간 목표",55,5
12729681454,study._.chemistry,"대학생 공스타
#공스타그램",27,24
39734519139,hyeonddoill,"시작의 용기, 과정의 행복, 마무리의 희열.
#대학생공스타그램 #자기관리
교직이수 제발 붙어라🙏🏻🌈",5,5
18038447172,_mandusddy_,"📌만두의 데.다(aka 데일리 다이어리)인증 계정
📌하루하루 제대로 다이어리 쓰려고 만든 계정
📌2020-2부터 start",1,0
32525444043,ppakkgonghim,"2020.04.02~✍
식품영양학과",4,5
39992189941,cumulus_0613,"GNU 20 공대생
☁️ 내가 원하는 목표를 이루기 위해
☁️ 하고 싶은 것이 생겼을 때를 위해",0,0
32028176535,154_egi,,0,0
38011837946,realmentor_official,"나에게 딱 맞는 학과선택, 리얼멘토
————————————
공부 마렵다고??
공부자극! 동기부여!
필요한 사람은 당장 팔로우🥰
————————————
#진로진학 #학과선택 #입시전략 #대학생활 #대학생멘토링 #진로고민 #리얼멘토",111,12
8928117742,jingub_plz,"한의대생👩‍🏫 유지어터🏋️‍♀️ 헬린이💪
DKM 韓醫大 18학번 본1 공스타&식단운동일기💕
#공스타 #공스타그램 #공스타맞팔 
#대학생 #한의대 #한의대생 #한의학과 
#다이어트 #다이어터 #유지어터 #운동 #헬스 #헬린이",194,334
31370358452,gongbu__jomhae,,93,60
37306064991,raeo_2020,,0,12
40393496259,bl.iuc622,공부시러,11,37
40367635517,jebal_gongboo_hae,"💬 20학번 공스타그램🤨
🗣 보건계열 재학중
😶 맞팔 DM 주세요!
ㅡ
#공스타그램",5,2
30615997944,yooong_gi,"공대생 공스타
자기관리용 공스타
electronics/material engineering
1학년 1학기 : 3.9/4.3
2학기 목표 학점 :🌟3.6/4.3🌟",278,107
32048590864,study_eng.t_ewha,"🌲 임고벗의 공스타그램 🌲
❗임용초수합격&학점 4.0⬆️❗
#studygram #ewha #wherechangebegins",514,565
32042127142,ddd_y_99,"⠀⠀
/psychology/
⠀
맞팔= only 디엠  ✺◟(∗❛ัᴗ❛ั∗)◞✺",131,39
34093601554,gongbooluver,,22,31
6301373289,y.yunun,,79,61
7409785989,sn_jjae_19,"SN 19- Lv.2 째
🖤맞팔은 댓글 부탁드려요♡
🖤영마인드 2기
<리훈체험단(@rihoon) : 08/08~09/06>",272,303
10716408582,sweetdreaming00,"𝓘 𝓵𝓲𝓿𝓮 𝓽𝓱𝓮 𝔀𝓸𝓻𝓵𝓭 𝓽𝓱𝓪𝓽 𝓘 𝓒𝓪𝓷 𝓓𝓮𝓼𝓲𝓰𝓷
ʟɪғᴇ ᴏғ ᴜɴɪᴠᴇʀsɪᴛʏ sᴛᴜᴅᴇɴᴛ
𝕆ℕ𝔸𝕀ℝ 중국어+경제학+토익
ℝ𝕖𝕒𝕕𝕪 2021 중국 교환학생",41,21
38956489540,dr_rt__,"(전도서 12 : 1)
너는 청년의 때에 너의 창조주를 기억하라 곧 곤고한 날이 이르기 전에, 
나는 아무 낙이 없다고 할 해들이 가깝기 전에
✨결국 무엇이든 해내는 사람
20학번 방사선과(전문대생-3년제)
방사선사 되는 과정 올리기🖤",153,135
33892505875,rosea_studie_sn20,"💉𝐒𝐍𝟐𝟎💉
͏🌟 ͏ⓢⓒⓡⓤⓑ ⓝⓤⓡⓢⓔ
☀️ Ⓢⓔⓞⓤⓛ ⓐⓢⓐⓝ
🌕 Ⓨⓞⓝⓢⓔⓘ Ⓢⓔⓥⓔⓡⓐⓝⓒⓔ",175,24
33009692906,please_study_jh,"공부 안하는 본인 공부하라고 만든 계정
HUFS ELLT 18🙋‍♀️
#대학생공스타그램 #영어 #행정 #교직이수",9,6
34118286976,bong_psychology,✎ 연단의 시간 속 우리 더 단단해지길,100,57
34374752741,if_record,"생각만 하던 것을 현실로
이프의 이야기를 기록하는 곳🖋
공부,일상 등등•••",52,22
7941911682,daan__study_,"슬기로운 SN20 생활📝
플래너는 잘 안올려요🙌🏻
컴활 실기(9월) 토익(11월)",41,87
12491223434,uju_med,"#medstudygram
a medical student in 🇰🇷",82,24
39759835462,lmf403,403동 사는 F,10,13
38328862495,cls_1821_s2,"임상병리학과 18학번의 무사 졸업을 위한 여정🌊
-
🐭20.08.10~10.31 실험동물기술원 인증시험 2급 준비
🔜20.08.31~12.○○ 3학년 2학기
-
➰학과 관련 질문 환영 (하지만 난 말하는 감자🥔)",9,6
11473166255,study_round,"✈𝐇𝐀𝐍𝐒𝐄𝐎 𝐔𝐍𝐈. 𝐀𝐈𝐑 𝐓𝐑𝐀𝐅𝐅𝐈𝐂 𝐂𝐎𝐍𝐓𝐑𝐎𝐋✈
✨17학번 | 3학년 복학생✨ | 예비장교후보생 지원
🐝꿀벌단 19기🐝
🐢꼬부기단 18기 🐢
🌆daily @kayjng_0218 🌇",97,101
31441741238,bravelessss,24학점 가자 #공스타그램,4,7
12041547004,study_ll26,"大学生/英語学部
#0102students   #大学生の勉強垢　#ipad勉強　#オンライン英会話",60,44
39669880784,may__french,"사진은 캡쳐 후 문의주세요,카드가능💳
수년간 단골언니들의 후기도 가득해요.믿고 구입하실 수 있어요.
 👻유령계정은 답변안드려요
메이프렌치언니들의 놀이터랍니다💓
피드에 없는 제품도 찾아드려요😊
✨ 실시간 상담은 DM /오픈카톡으로⬇️⬇️ 문의주세요😉",177,49
27264443199,bbiyak.99,"PEET 공부 일기장
➰약대 준비생🙇🏻‍♀️
➰생명공학과에서 약학과
#공스타그램 #핏준생",25,9
13769590793,d_01_20,"#20학번 #ㅇㄱㄷ #사범대생 #중등특수교육과
♥저는 자극받을 수 있는 분 위주로 팔로우합니다😅
📣피드가 밀리는 경우가 생기면 오전이나 오후에 올라옵니다
🔔목표학점: 4.0 이상 or 1학기 학점 유지
⚠9월 피드 없는 날 (DAY OFF)
•9월 26일 (치과)",36,30
9227201214,ji_nae_ni,,149,183
21861601328,s__everyday,,245,145
